Program,Best Speedup,Best Optimization
automotive_susan_c,3.2552,-sroa -jump-threading -mem2reg -loop-sink -early-cse-memssa -dse -lcssa -loop-unroll -instcombine -licm -gvn -prune-eh -memcpyopt -loop-distribute -tti -scoped-noalias-aa -assumption-cache-tracker -lower-expect -forceattrs -inferattrs -called-value-propagation -loops -lazy-branch-prob -opt-remark-emitter -basiccg -globals-aa -inline -openmp-opt-cgscc -memoryssa -correlated-propagation -libcalls-shrinkwrap -branch-prob -block-freq -pgo-memop-opt -tailcallelim -loop-simplify -scalar-evolution -loop-rotate -loop-unswitch -loop-idiom -indvars -mldst-motion -phi-values -sccp -demanded-bits -bdce -adce -barrier -elim-avail-extern -float2int -lower-constant-intrinsics -loop-accesses -inject-tli-mappings -slp-vectorizer -vector-combine -transform-warning -alignment-from-assumptions -cg-profile -instsimplify -annotation-remarks
automotive_susan_e,2.0800,-sroa -jump-threading -dse -mem2reg -loop-sink -licm -gvn -instcombine -memcpyopt -loop-distribute -tti -tbaa -assumption-cache-tracker -targetlibinfo -verify -simplifycfg -forceattrs -inferattrs -ipsccp -called-value-propagation -globalopt -basic-aa -lazy-branch-prob -basiccg -globals-aa -function-attrs -memoryssa -speculative-execution -lazy-value-info -correlated-propagation -aggressive-instcombine -libcalls-shrinkwrap -pgo-memop-opt -tailcallelim -reassociate -loop-simplify -lcssa-verification -scalar-evolution -loop-rotate -phi-values -sccp -demanded-bits -bdce -adce -inject-tli-mappings -vector-combine -transform-warning -alignment-from-assumptions -constmerge -cg-profile -annotation-remarks
automotive_susan_s,1.6694,-sroa -jump-threading -prune-eh -mem2reg -instcombine -early-cse-memssa -licm -gvn -dse -assumption-cache-tracker -targetlibinfo -early-cse -annotation2metadata -forceattrs -callsite-splitting -called-value-propagation -deadargelim -lazy-block-freq -basiccg -openmp-opt-cgscc -function-attrs -argpromotion -speculative-execution -lazy-value-info -correlated-propagation -libcalls-shrinkwrap -postdomtree -branch-prob -scalar-evolution -loop-rotate -loop-unswitch -loop-idiom -indvars -loop-deletion -phi-values -adce -barrier -elim-avail-extern -rpo-function-attrs -globaldce -float2int -lower-constant-intrinsics -loop-accesses -inject-tli-mappings -loop-vectorize -loop-load-elim -slp-vectorizer -vector-combine -constmerge -cg-profile -div-rem-pairs -annotation-remarks
automotive_bitcount,1.1942,-sroa -jump-threading -mem2reg -gvn -early-cse-memssa -dse -lcssa -loop-unroll -tti -assumption-cache-tracker -targetlibinfo -verify -profile-summary-info -forceattrs -inferattrs -called-value-propagation -globalopt -deadargelim -basic-aa -aa -loops -lazy-block-freq -opt-remark-emitter -basiccg -inline -function-attrs -memoryssa -speculative-execution -aggressive-instcombine -libcalls-shrinkwrap -postdomtree -branch-prob -block-freq -pgo-memop-opt -tailcallelim -reassociate -scalar-evolution -loop-rotate -indvars -memdep -sccp -barrier -elim-avail-extern -rpo-function-attrs -globaldce -float2int -loop-accesses -inject-tli-mappings -loop-vectorize -vector-combine -strip-dead-prototypes -constmerge -div-rem-pairs -annotation-remarks
bzip2d,3.8045,-sroa -jump-threading -mem2reg -instcombine -early-cse-memssa -lcssa -loop-unroll -licm -gvn -dse -scoped-noalias-aa -verify -annotation2metadata -inferattrs -callsite-splitting -ipsccp -called-value-propagation -globalopt -deadargelim -basic-aa -loops -opt-remark-emitter -speculative-execution -aggressive-instcombine -postdomtree -block-freq -tailcallelim -reassociate -lcssa-verification -loop-rotate -loop-unswitch -indvars -loop-deletion -mldst-motion -sccp -globaldce -lower-constant-intrinsics -loop-accesses -loop-vectorize -loop-load-elim -slp-vectorizer -vector-combine -transform-warning -alignment-from-assumptions -constmerge -instsimplify -div-rem-pairs -annotation-remarks
office_rsynth,2.3911,-mem2reg -loop-sink -early-cse-memssa -instcombine -lcssa -loop-unroll -licm -gvn -dse -memcpyopt -loop-distribute -tti -tbaa -assumption-cache-tracker -verify -lower-expect -simplifycfg -early-cse -profile-summary-info -globalopt -deadargelim -loops -lazy-branch-prob -lazy-block-freq -openmp-opt-cgscc -argpromotion -speculative-execution -libcalls-shrinkwrap -postdomtree -branch-prob -pgo-memop-opt -tailcallelim -reassociate -lcssa-verification -scalar-evolution -indvars -loop-deletion -memdep -demanded-bits -adce -barrier -elim-avail-extern -rpo-function-attrs -globaldce -float2int -loop-vectorize -slp-vectorizer -vector-combine -constmerge -cg-profile -instsimplify -div-rem-pairs -annotation-remarks
telecom_adpcm_c,2.5232,-sroa -jump-threading -mem2reg -early-cse-memssa -lcssa -loop-unroll -instcombine -prune-eh -licm -gvn -dse -memcpyopt -loop-distribute -tti -scoped-noalias-aa -assumption-cache-tracker -domtree -early-cse -annotation2metadata -inferattrs -callsite-splitting -ipsccp -globalopt -deadargelim -aa -loops -lazy-branch-prob -lazy-block-freq -opt-remark-emitter -inline -openmp-opt-cgscc -function-attrs -argpromotion -lazy-value-info -aggressive-instcombine -branch-prob -block-freq -reassociate -lcssa-verification -loop-rotate -loop-unswitch -indvars -loop-deletion -mldst-motion -phi-values -memdep -sccp -demanded-bits -bdce -barrier -elim-avail-extern -rpo-function-attrs -float2int -lower-constant-intrinsics -loop-accesses -loop-load-elim -slp-vectorizer -vector-combine -transform-warning -alignment-from-assumptions -strip-dead-prototypes -constmerge -cg-profile -div-rem-pairs
telecom_adpcm_d,1.7056,-instcombine -mem2reg -early-cse-memssa -dse -licm -gvn -prune-eh -memcpyopt -loop-distribute -tti -tbaa -scoped-noalias-aa -assumption-cache-tracker -targetlibinfo -verify -lower-expect -simplifycfg -early-cse -annotation2metadata -inferattrs -callsite-splitting -ipsccp -called-value-propagation -deadargelim -basic-aa -lazy-block-freq -opt-remark-emitter -basiccg -function-attrs -argpromotion -speculative-execution -correlated-propagation -libcalls-shrinkwrap -block-freq -tailcallelim -reassociate -loop-simplify -lcssa-verification -barrier -rpo-function-attrs -globaldce -lower-constant-intrinsics -loop-accesses -inject-tli-mappings -loop-load-elim -slp-vectorizer -vector-combine -alignment-from-assumptions -constmerge -cg-profile -instsimplify -annotation-remarks
security_blowfish_d,1.4047,-mem2reg -loop-sink -early-cse-memssa -lcssa -loop-unroll -instcombine -prune-eh -licm -gvn -dse -memcpyopt -loop-distribute -assumption-cache-tracker -targetlibinfo -lower-expect -simplifycfg -domtree -early-cse -forceattrs -inferattrs -called-value-propagation -globalopt -loops -basiccg -globals-aa -openmp-opt-cgscc -function-attrs -correlated-propagation -libcalls-shrinkwrap -postdomtree -pgo-memop-opt -reassociate -loop-rotate -indvars -loop-deletion -mldst-motion -phi-values -demanded-bits -bdce -adce -barrier -elim-avail-extern -rpo-function-attrs -globaldce -float2int -loop-accesses -inject-tli-mappings -loop-vectorize -loop-load-elim -alignment-from-assumptions -strip-dead-prototypes -cg-profile -instsimplify -div-rem-pairs
security_blowfish_e,1.1366,-sroa -jump-threading -instcombine -mem2reg -loop-sink -early-cse-memssa -dse -lcssa -loop-unroll -licm -gvn -prune-eh -memcpyopt -loop-distribute -tti -scoped-noalias-aa -assumption-cache-tracker -verify -simplifycfg -domtree -early-cse -profile-summary-info -annotation2metadata -forceattrs -inferattrs -callsite-splitting -ipsccp -called-value-propagation -aa -loops -opt-remark-emitter -basiccg -globals-aa -inline -function-attrs -argpromotion -memoryssa -lazy-value-info -aggressive-instcombine -libcalls-shrinkwrap -branch-prob -block-freq -pgo-memop-opt -reassociate -loop-simplify -lcssa-verification -scalar-evolution -loop-unswitch -loop-idiom -indvars -loop-deletion -mldst-motion -bdce -adce -elim-avail-extern -globaldce -lower-constant-intrinsics -loop-accesses -loop-vectorize -loop-load-elim -vector-combine -alignment-from-assumptions -cg-profile -annotation-remarks
bzip2e,3.6097,-sroa -jump-threading -mem2reg -loop-sink -loop-distribute -early-cse-memssa -dse -lcssa -loop-unroll -instcombine -licm -gvn -prune-eh -tti -tbaa -assumption-cache-tracker -targetlibinfo -lower-expect -domtree -early-cse -profile-summary-info -annotation2metadata -forceattrs -ipsccp -called-value-propagation -deadargelim -basic-aa -loops -opt-remark-emitter -globals-aa -openmp-opt-cgscc -function-attrs -argpromotion -memoryssa -speculative-execution -aggressive-instcombine -postdomtree -branch-prob -block-freq -pgo-memop-opt -tailcallelim -reassociate -loop-simplify -indvars -loop-deletion -mldst-motion -memdep -sccp -bdce -adce -elim-avail-extern -rpo-function-attrs -globaldce -loop-accesses -loop-load-elim -vector-combine -transform-warning -strip-dead-prototypes -constmerge -cg-profile -annotation-remarks
telecom_CRC32,1.5264,-sroa -jump-threading -prune-eh -mem2reg -gvn -instcombine -early-cse-memssa -dse -tbaa -scoped-noalias-aa -assumption-cache-tracker -targetlibinfo -verify -domtree -annotation2metadata -inferattrs -callsite-splitting -ipsccp -loops -lazy-block-freq -opt-remark-emitter -basiccg -inline -function-attrs -argpromotion -memoryssa -libcalls-shrinkwrap -postdomtree -pgo-memop-opt -tailcallelim -reassociate -lcssa-verification -loop-rotate -loop-unswitch -loop-idiom -loop-deletion -mldst-motion -memdep -demanded-bits -bdce -adce -globaldce -loop-accesses -loop-vectorize -strip-dead-prototypes -cg-profile -instsimplify -div-rem-pairs -annotation-remarks
network_dijkstra,1.2032,-mem2reg -loop-sink -early-cse-memssa -instcombine -licm -gvn -dse -memcpyopt -loop-distribute -assumption-cache-tracker -simplifycfg -domtree -early-cse -inferattrs -called-value-propagation -deadargelim -basic-aa -aa -loops -lazy-branch-prob -lazy-block-freq -opt-remark-emitter -globals-aa -inline -openmp-opt-cgscc -argpromotion -speculative-execution -correlated-propagation -postdomtree -block-freq -pgo-memop-opt -tailcallelim -lcssa-verification -loop-rotate -indvars -phi-values -demanded-bits -bdce -barrier -elim-avail-extern -globaldce -float2int -loop-accesses -loop-load-elim -slp-vectorizer -alignment-from-assumptions -cg-profile -instsimplify -annotation-remarks
consumer_jpeg_c,2.1204,-sroa -jump-threading -prune-eh -mem2reg -lcssa -loop-unroll -licm -gvn -dse -memcpyopt -loop-distribute -tti -targetlibinfo -lower-expect -simplifycfg -domtree -early-cse -inferattrs -globalopt -basic-aa -aa -loops -opt-remark-emitter -basiccg -globals-aa -inline -argpromotion -lazy-value-info -aggressive-instcombine -libcalls-shrinkwrap -block-freq -reassociate -loop-simplify -loop-rotate -loop-idiom -indvars -loop-deletion -memdep -sccp -adce -barrier -float2int -loop-accesses -loop-vectorize -loop-load-elim -slp-vectorizer -vector-combine -strip-dead-prototypes -cg-profile -div-rem-pairs
consumer_jpeg_d,2.0984,-sroa -jump-threading -instcombine -mem2reg -lcssa -loop-unroll -prune-eh -licm -gvn -dse -tti -scoped-noalias-aa -lower-expect -simplifycfg -early-cse -annotation2metadata -forceattrs -callsite-splitting -ipsccp -deadargelim -aa -lazy-branch-prob -opt-remark-emitter -basiccg -inline -function-attrs -speculative-execution -lazy-value-info -libcalls-shrinkwrap -branch-prob -block-freq -tailcallelim -loop-simplify -scalar-evolution -loop-rotate -loop-idiom -indvars -phi-values -memdep -sccp -bdce -elim-avail-extern -rpo-function-attrs -float2int -loop-accesses -inject-tli-mappings -alignment-from-assumptions -annotation-remarks
network_patricia,1.3308,-mem2reg -early-cse-memssa -lcssa -loop-unroll -instcombine -prune-eh -licm -gvn -dse -memcpyopt -loop-distribute -tti -scoped-noalias-aa -verify -lower-expect -simplifycfg -domtree -early-cse -profile-summary-info -annotation2metadata -inferattrs -callsite-splitting -called-value-propagation -globalopt -deadargelim -basic-aa -aa -loops -lazy-block-freq -opt-remark-emitter -basiccg -inline -function-attrs -argpromotion -memoryssa -speculative-execution -lazy-value-info -correlated-propagation -libcalls-shrinkwrap -postdomtree -block-freq -pgo-memop-opt -reassociate -loop-simplify -lcssa-verification -scalar-evolution -loop-rotate -loop-unswitch -loop-idiom -indvars -loop-deletion -phi-values -sccp -adce -barrier -rpo-function-attrs -globaldce -lower-constant-intrinsics -inject-tli-mappings -loop-vectorize -vector-combine -alignment-from-assumptions -strip-dead-prototypes -constmerge -cg-profile
automotive_qsort1,1.2214,-mem2reg -dse -early-cse-memssa -instcombine -lcssa -loop-unroll -licm -gvn -prune-eh -tti -tbaa -scoped-noalias-aa -assumption-cache-tracker -targetlibinfo -early-cse -profile-summary-info -annotation2metadata -inferattrs -called-value-propagation -globalopt -deadargelim -aa -loops -lazy-branch-prob -opt-remark-emitter -function-attrs -memoryssa -speculative-execution -lazy-value-info -correlated-propagation -aggressive-instcombine -libcalls-shrinkwrap -postdomtree -pgo-memop-opt -tailcallelim -loop-simplify -lcssa-verification -loop-unswitch -loop-idiom -indvars -mldst-motion -phi-values -memdep -sccp -demanded-bits -bdce -rpo-function-attrs -float2int -loop-accesses -inject-tli-mappings -loop-vectorize -alignment-from-assumptions -strip-dead-prototypes -constmerge -cg-profile -instsimplify
security_rijndael_d,43.0584,-mem2reg -dse -early-cse-memssa -lcssa -loop-unroll -licm -gvn -instcombine -memcpyopt -loop-distribute -tti -tbaa -scoped-noalias-aa -assumption-cache-tracker -targetlibinfo -simplifycfg -early-cse -forceattrs -inferattrs -callsite-splitting -ipsccp -globalopt -aa -opt-remark-emitter -basiccg -inline -openmp-opt-cgscc -lazy-value-info -correlated-propagation -libcalls-shrinkwrap -block-freq -pgo-memop-opt -loop-simplify -lcssa-verification -scalar-evolution -loop-unswitch -indvars -loop-deletion -phi-values -sccp -demanded-bits -barrier -elim-avail-extern -globaldce -float2int -loop-accesses -loop-vectorize -loop-load-elim -vector-combine -alignment-from-assumptions
